id;title;like;vote_average
1893;La guerra de las galaxias. Episodio I: La amenaza fantasma;1;6.3
1894;La guerra de las galaxias. Episodio II: El ataque de los clones;1;6.4
1895;La guerra de las galaxias. Episodio III: La venganza de los Sith;1;7.1
1900;Traffic;;6.9
1901;;;
1903;Vanilla sky;;6.5
1904;Memorias de una geisha;;
1907;La playa;;6.3
1909;Don Juan DeMarco;;6.2
1911;El guerrero nº 13;;6.4
1913;Mar adentro;;7.2
1921;Noviembre dulce;;6.4
1924;Superman;0;6.9
1927;Hulk;1;
1930;The Amazing Spider-Man;1;6.5
1931;Ritmo salvaje (Stomp the Yard);;6.1
1933;Los otros;;
1934;Shakespeare in Love (Shakespeare enamorado);1;6.8
1946;eXistenZ;;6.7
1947;Una Vida por Delante;;6.7
1948;Crank: Veneno en la sangre;;6.6
1949;Zodiac;;7.3
1950;Lucky You;;5.4
1951;Manderlay;;6.9
1954;El efecto mariposa;;7.3
1955;El hombre elefante;;7.9
1956;Gerry;;
1957;Nunca más;;6.2
1958;8 mujeres;;6.9
1961;Posesión demencial;;5.9
1966;Alejandro Magno;;5.6
1969;Bandidas;;5.8
1970;El grito;;5.8
1975;El grito 2;0;5.2
1979;Los 4 fantásticos y Silver Surfer;0;5.4
1985;El jardinero fiel;;6.8
1988;Un corazón invencible;;6.7
1989;My Blueberry Nights;;6.0
1995;Lara Croft: Tomb Raider;0;5.7
1996;Lara Croft Tomb Raider: La cuna de la vida;0;5.5
1997;Dos hermanos;;6.9
1999;En la habitación;;6.4
2001;La noche es nuestra;;6.5
2008;La promesa: La leyenda de los caballeros del viento;;
2009;4 meses, 3 semanas, 2 días;;7.3
2011;Persépolis;;7.7
2013;La escafandra y la mariposa;;7.4
2018;Planes de boda;;5.5
2022;Mr. Deeds;;5.6
2023;Océanos de fuego (Hidalgo);;6.5
2024;El patriota;;
2026;Hostage;;6.2
2034;Training Day (Día de entrenamiento);;
2043;La hora de la araña;;6.1
2044;La casa del lago;;6.5
2048;Yo, robot;1;6.7
2054;Profesor Holland;;
2055;Open Range;;7.0
2056;The Station Agent (Vías cruzadas);;7.4
2057;Pecado original;;5.8
2059;La búsqueda (National Treasure);;6.4
2062;Ratatouille;1;7.5
2067;Misión a Marte;;5.7
2069;Falsas apariencias;;6.2
2074;Flirteando con el desastre;;6.3
2080;;;6.2
2084;Oscura seducción;;6.1
2085;Romeo debe morir;;
2088;Romeo Is Bleeding;;5.7
2100;La Última Fortaleza;;7.0
2105;American Pie;1;
2110;Wasabi: El trato sucio de la mafia;;
2112;Payback;;6.7
2114;Final fantasy: La fuerza interior;1;5.9
2116;A contrarreloj;;6.1
2118;L.A. Confidential;;7.7
2119;Days of Thunder (Días de trueno);;5.9
2122;Más falsas apariencias;;5.5
2123;Yo, yo mismo e Irene;;6.1
2133;La tormenta perfecta;0;6.2
2135;La máquina del tiempo;;5.8
2140;El beso del dragón;;6.4
2142;Cop land;;6.6
2148;Cotton Club;;
2155;Operación Reno;0;5.4
2157;Perdidos en el espacio;;5.0
2162;Chill Factor;;5.3
2163;Breakdown;;6.6
2176;Última sospecha;;5.4
2185;El gran lío;;6.3
2196;Un funeral de muerte;;6.9
2207;16 calles;;6.2
2211;Aimée y Jaguar;;6.3
2251;Infiel;;6.3
2252;Promesas del este;;7.2
2253;Valkiria;;6.7
2255;Persiguiendo a Amy;;6.7
2266;París, je t'aime;;6.8
2268;La brújula dorada;;5.8
2270;Stardust;;7.1
2275;La hija del general;;6.1
2277;El hombre bicentenario;;6.9
2280;Big;;6.9
2287;Rize;;5.9
2288;Closer;;6.7
2289;Cold Mountain;;6.7
2290;Ilusiones de un mentiroso;;6.0
2292;Clerks;;7.4
2293;Mallrats;;6.8
2294;Jay y Bob el Silencioso contraatacan;;6.4
2295;Clerks II;;6.9
2300;Space Jam;1;6.5
2309;Corazón de tinta;;
2310;Beowulf;;5.5
2312;En el nombre del rey;;4.1
2320;Decisión crítica;;5.8
2355;En algún lugar de la memoria;;7.1
2359;Sicko;;
2370;Topaz;;6.1
2395;Astérix en los Juegos Olímpicos;0;5.0
2428;La historia más grande jamás contada;;6.5
2447;Natividad;;6.4
2453;Dos duros sobre ruedas;0;6.1
2454;Las crónicas de Narnia: El príncipe Caspian;0;6.3
2486;Eragon;1;4.9
2493;La princesa prometida;;7.6
2501;The Bourne Identity: El caso Bourne;;7.3
2502;El mito de Bourne;1;7.2
2503;El ultimátum de Bourne;1;7.3
2539;Spanglish;0;5.8
2567;El aviador;;7.0
2575;El sastre de Panamá;;6.2
2577;Código 46;;6.2
2604;Nacido el cuatro de julio;;6.7
2610;Prohibido enamorarse;;5.7
2619;1, 2, 3... Splash;;6.1
2621;Hechizo del corazón;;6.1
2636;El especialista;;5.5
2637;Mothman, la última profecía;;6.1
2639;Desmontando a Harry;;7.3
2642;Amor con preaviso;;5.9
2649;The Game;;7.5
2652;Hard Candy;;6.8
2655;Lo que la verdad esconde;;
2661;Batman: La pelicula;;6.1
2662;La casa de los 1000 cadáveres;;6.0
2666;Dark City;;7.2
2667;The Blair Witch Project (El proyecto de la bruja de Blair);;6.3
2669;Motín a bordo;;6.5
2675;Señales;;6.4
2687;Memorias de un hombre invisible;;5.7
2698;Sigo como Dios;1;5.3
2749;15 Minutos;;5.7
2752;40 días y 40 noches;;5.2
2755;A propósito de Schmidt;;6.7
2756;Abyss;;7.1
2757;Adaptation. El ladrón de orquídeas;;7.3
2770;American Pie 2;1;6.0
2771;American Splendor;;7.1
2779;La maldición del escorpión de jade;;6.5
2786;Pierrot el loco;;7.6
2787;Pitch Black;;6.7
2789;Las crónicas de Riddick;0;6.3
2830;La Hija de Mi Jefe;0;4.4
2832;Identidad;;
2841;Largo domingo de noviazgo;;7.1
2895;The Apostle;;6.1
2898;Mejor... imposible;;7.2
2900;La cara del terror;;5.4
2907;La familia Addams;0;6.7
2925;El club de las primeras esposas;;6.5
2959;Hasta que el cura nos separe;0;5.2
2976;Hairspray;;6.5
2977;La joven Jane Austen;;6.9
2989;El gran rugido;;5.6
3021;1408;;6.5
3028;Jekyll y Hyde... hasta que la risa los separe;;4.6
3033;Dioses y monstruos;;6.8
3034;El jovencito Frankenstein;1;7.7
3040;Guardianes de la noche;;6.3
3049;Ace Ventura: Un detective diferente;;6.4
3050;Dr. Dolittle;;5.4
3059;Intolerancia;;7.4
3060;El gran desfile;;7.0
3062;La calle 42;;6.1
3078;Sucedió una noche;;7.7
3080;Sombrero de copa;;7.4
3082;Tiempos modernos;;8.1
3083;Caballero sin espada;;7.9
3089;Río Rojo;;7.3
3093;Instinto básico 2: Adicción al riesgo;;4.6
3116;Cowboy de medianoche;;7.4
3131;Gangs of New York;;7.1
3132;9 días;;5.4
3170;Bambi;;6.8
3172;Bandits (Bandidos);;6.2
3175;Barry Lyndon;;7.7
